StockReferenceID;IssueID;Condition;AvailableQty;Price
104;105;Very Fine;4;244.59
105;106;Very Fine;7;35.67
106;107;Very Fine;3;183.26
107;108;Very Fine;2;107.78
108;109;Very Fine;2;192.57
109;110;Very Fine;5;50.85
110;111;Very Fine;9;201.88
111;112;Very Fine;7;150.43
112;113;Very Fine;4;83.76
113;114;Very Fine;5;99.14
114;115;Very Fine;8;214.20
115;116;Very Fine;6;123.61
116;117;Very Fine;4;19.25
117;118;Very Fine;9;76.28
118;119;Very Fine;3;227.35
119;120;Very Fine;9;52.91
120;121;Very Fine;4;162.05
121;122;Very Fine;6;192.96
122;123;Very Fine;7;84.36
123;124;Very Fine;2;38.03
124;125;Very Fine;6;174.57
125;126;Very Fine;6;244.08
126;127;Very Fine;3;62.18
127;128;Very Fine;0;91.98
128;129;Very Fine;4;103.86
129;130;Very Fine;8;169.66
130;131;Very Fine;0;33.22
131;132;Very Fine;9;23.09
132;133;Very Fine;7;246.44
133;134;Very Fine;9;154.42
134;135;Very Fine;6;94.01
135;136;Very Fine;6;187.86
136;137;Very Fine;5;231.46
137;138;Very Fine;3;155.03
138;139;Very Fine;7;2.05
139;140;Very Fine;5;152.96
140;141;Very Fine;7;78.60
141;142;Very Fine;4;233.42
142;143;Very Fine;7;24.62
143;144;Very Fine;7;86.65
144;145;Very Fine;7;196.87
145;146;Very Fine;4;234.10
146;147;Very Fine;6;105.89
147;148;Very Fine;0;197.45
148;149;Very Fine;2;172.19
149;150;Very Fine;7;240.22
150;151;Very Fine;9;141.29
151;152;Very Fine;2;16.43
152;153;Very Fine;3;73.96
153;154;Very Fine;4;137.71
154;155;Very Fine;6;133.38
155;156;Very Fine;6;121.68
156;157;Very Fine;3;230.13
157;158;Very Fine;9;203.62
158;159;Very Fine;9;232.84
159;160;Very Fine;4;40.13
160;161;Very Fine;4;23.60
161;162;Very Fine;5;131.40
162;163;Very Fine;2;51.64
163;164;Very Fine;1;196.06
164;165;Very Fine;2;108.65
165;166;Very Fine;2;23.13
166;167;Very Fine;2;39.73
167;168;Very Fine;9;156.75
168;169;Very Fine;0;66.58
169;170;Very Fine;5;228.99
170;171;Very Fine;7;80.30
171;172;Very Fine;5;173.26
172;173;Very Fine;3;248.06
173;174;Very Fine;4;192.88
174;175;Very Fine;8;114.60
175;176;Very Fine;3;138.83
176;177;Very Fine;1;168.21
177;178;Very Fine;1;16.82
178;179;Very Fine;2;159.91
179;180;Very Fine;2;185.37
180;181;Very Fine;1;151.49
181;182;Very Fine;5;140.07
182;183;Very Fine;4;12.54
183;184;Very Fine;7;40.34
184;185;Very Fine;0;53.19
185;186;Very Fine;7;28.42
186;187;Very Fine;0;140.82
187;188;Very Fine;8;88.85
188;189;Very Fine;5;204.19
189;190;Very Fine;2;9.59
190;191;Very Fine;3;168.48
191;192;Very Fine;2;29.13
192;193;Very Fine;5;42.23
193;194;Very Fine;1;197.95
194;195;Very Fine;6;230.13
195;196;Very Fine;8;46.28
196;197;Very Fine;5;109.81
197;198;Very Fine;7;110.07
198;199;Very Fine;8;57.99
199;200;Very Fine;1;219.97
200;201;Very Fine;5;230.80
201;202;Very Fine;9;111.00
202;203;Very Fine;7;144.05
203;204;Very Fine;1;92.18
204;205;Very Fine;2;21.61
205;206;Very Fine;1;14.01
206;207;Very Fine;4;133.51
207;208;Very Fine;7;49.19
208;209;Very Fine;1;49.33
209;210;Very Fine;5;169.99
210;211;Very Fine;8;110.60
211;212;Very Fine;5;125.51
212;213;Very Fine;6;227.68
213;214;Very Fine;3;215.64
214;215;Very Fine;5;149.20
215;216;Very Fine;3;225.66
216;217;Very Fine;2;68.54
217;218;Very Fine;0;155.51
218;219;Very Fine;5;127.58
219;220;Very Fine;0;70.69
220;221;Very Fine;3;81.38
221;222;Very Fine;3;91.52
222;223;Very Fine;3;217.79
223;224;Very Fine;6;170.10
224;225;Very Fine;1;45.64
225;226;Very Fine;4;176.92
226;227;Very Fine;1;150.99
227;228;Very Fine;6;83.47
228;229;Very Fine;4;108.85
229;230;Very Fine;6;139.41
230;231;Very Fine;6;43.14
231;232;Very Fine;2;30.91
232;233;Very Fine;0;81.90
233;234;Very Fine;1;248.66
234;235;Very Fine;3;75.05
235;236;Very Fine;1;3.40
236;237;Very Fine;9;79.32
237;238;Very Fine;9;200.87
238;239;Very Fine;2;100.02
239;240;Very Fine;4;29.23
240;241;Very Fine;7;185.27
241;242;Very Fine;9;183.60
242;243;Very Fine;9;127.81
243;244;Very Fine;7;168.95
244;245;Very Fine;6;111.00
245;246;Very Fine;5;162.45
246;247;Very Fine;8;221.67
247;248;Very Fine;7;83.35
248;249;Very Fine;9;215.72
249;250;Very Fine;2;2.59
250;251;Very Fine;1;15.07
251;252;Very Fine;2;249.94
252;253;Very Fine;1;137.43
253;254;Very Fine;2;76.06
254;255;Very Fine;2;139.45
255;256;Very Fine;0;57.58
256;257;Very Fine;3;249.10
257;258;Very Fine;5;102.47
258;259;Very Fine;0;82.86
259;260;Very Fine;6;140.81
260;261;Very Fine;8;84.48
261;262;Very Fine;8;145.57
262;263;Very Fine;3;229.36
263;264;Very Fine;4;80.10
264;265;Very Fine;6;153.62
265;266;Very Fine;2;29.02
266;267;Very Fine;0;132.80
267;268;Very Fine;6;176.85
268;269;Very Fine;5;207.97
269;270;Very Fine;0;108.82
270;271;Very Fine;7;73.71
271;272;Very Fine;5;9.15
272;273;Very Fine;0;185.82
273;274;Very Fine;1;22.91
274;275;Very Fine;4;209.96
275;276;Very Fine;2;45.44
276;277;Very Fine;5;106.19
277;278;Very Fine;4;243.78
278;279;Very Fine;1;99.59
279;280;Very Fine;4;70.48
280;281;Very Fine;1;119.65
281;282;Very Fine;0;130.82
282;283;Very Fine;5;134.99
283;284;Very Fine;8;49.89
284;285;Very Fine;7;102.35
285;286;Very Fine;1;182.58
286;287;Very Fine;6;69.09
287;288;Very Fine;4;126.44
288;289;Very Fine;9;2.85
289;290;Very Fine;3;172.61
290;291;Very Fine;8;20.66
291;292;Very Fine;5;117.34
292;293;Very Fine;9;118.52
293;294;Very Fine;7;65.55
294;295;Very Fine;6;159.83
295;296;Very Fine;3;24.33
296;297;Very Fine;9;70.39
297;298;Very Fine;0;199.31
298;299;Very Fine;4;56.14
299;300;Very Fine;3;49.66
300;301;Very Fine;3;188.32
301;302;Very Fine;5;44.03
302;303;Very Fine;2;193.56
303;304;Very Fine;3;24.18
304;305;Very Fine;6;68.53
305;306;Very Fine;3;83.72
306;307;Very Fine;4;83.47
307;308;Very Fine;9;164.21
308;309;Very Fine;5;222.59
309;310;Very Fine;0;149.18
310;311;Very Fine;8;86.07
311;312;Very Fine;0;232.51
312;313;Very Fine;2;95.22
313;314;Very Fine;6;99.56
314;315;Very Fine;1;178.77
315;316;Very Fine;2;27.08
316;317;Very Fine;3;42.09
317;318;Very Fine;7;207.03
318;319;Very Fine;6;153.81
319;320;Very Fine;0;41.61
320;321;Very Fine;6;82.74
321;322;Very Fine;5;115.14
322;323;Very Fine;1;239.07
323;324;Very Fine;6;204.43
324;325;Very Fine;9;18.10
325;326;Very Fine;8;27.49
326;327;Very Fine;9;159.76
327;328;Very Fine;0;57.63
328;329;Very Fine;3;28.83
329;330;Very Fine;8;49.03
330;331;Very Fine;9;50.89
331;332;Very Fine;3;75.37
332;333;Very Fine;4;101.09
333;334;Very Fine;4;121.51
334;335;Very Fine;1;213.78
335;336;Very Fine;4;227.56
336;337;Very Fine;8;106.17
337;338;Very Fine;3;117.26
338;339;Very Fine;8;237.42
339;340;Very Fine;6;80.37
340;341;Very Fine;0;92.08
341;342;Very Fine;0;144.46
342;343;Very Fine;2;229.62
343;344;Very Fine;0;93.07
344;345;Very Fine;0;216.04
345;346;Very Fine;8;204.56
346;347;Very Fine;1;172.56
347;348;Very Fine;4;90.80
348;349;Very Fine;8;77.57
349;350;Very Fine;3;137.64
350;351;Very Fine;2;48.64
351;352;Very Fine;5;52.92
352;353;Very Fine;7;80.26
353;354;Very Fine;5;9.75
354;355;Very Fine;8;208.54
355;356;Very Fine;3;201.16
356;357;Very Fine;3;55.05
357;358;Very Fine;8;132.29
358;359;Very Fine;0;120.58
359;360;Very Fine;8;94.44
360;361;Very Fine;2;202.46
361;362;Very Fine;8;56.90
362;363;Very Fine;8;14.52
363;364;Very Fine;7;175.39
364;365;Very Fine;9;234.14
365;366;Very Fine;7;110.96
366;367;Very Fine;5;35.99
367;368;Very Fine;6;187.19
368;369;Very Fine;5;68.23
369;370;Very Fine;4;170.73
370;371;Very Fine;7;6.17
371;372;Very Fine;5;66.44
372;373;Very Fine;9;143.04
373;374;Very Fine;7;106.15
374;375;Very Fine;1;246.72
375;376;Very Fine;0;219.72
376;377;Very Fine;7;110.32
377;378;Very Fine;9;247.40
378;379;Very Fine;1;173.99
379;380;Very Fine;4;2.44
380;381;Very Fine;7;221.85
381;382;Very Fine;8;23.19
382;383;Very Fine;2;45.70
383;384;Very Fine;0;249.39
384;385;Very Fine;3;208.28
385;386;Very Fine;0;137.31
386;387;Very Fine;1;189.77
387;388;Very Fine;3;26.97
388;389;Very Fine;3;159.04
389;390;Very Fine;1;188.14
390;391;Very Fine;4;154.78
391;392;Very Fine;5;201.09
392;393;Very Fine;9;84.00
393;394;Very Fine;0;151.76
394;395;Very Fine;7;212.73
395;396;Very Fine;9;87.16
396;397;Very Fine;0;98.29
397;398;Very Fine;8;132.50
398;399;Very Fine;7;117.79
399;400;Very Fine;0;66.84
400;401;Very Fine;0;62.49
401;402;Very Fine;1;21.47
402;403;Very Fine;4;75.59
403;404;Very Fine;8;108.94
404;405;Very Fine;8;100.71
405;406;Very Fine;6;203.41
406;407;Very Fine;5;173.77
407;408;Very Fine;3;114.56
408;409;Very Fine;7;244.89
409;410;Very Fine;9;33.47
410;411;Very Fine;3;140.41
411;412;Very Fine;8;205.09
412;413;Very Fine;5;234.75
413;414;Very Fine;6;0.15
414;415;Very Fine;1;121.47
415;416;Very Fine;5;146.70
416;417;Very Fine;2;109.04
417;418;Very Fine;6;203.12
418;419;Very Fine;8;61.97
419;420;Very Fine;0;214.88
420;421;Very Fine;4;68.48
421;422;Very Fine;7;34.28
422;423;Very Fine;0;228.23
423;424;Very Fine;7;247.34
424;425;Very Fine;0;248.66
425;426;Very Fine;2;43.70
426;427;Very Fine;8;173.23
427;428;Very Fine;4;122.99
428;429;Very Fine;7;120.43
429;430;Very Fine;8;152.88
430;431;Very Fine;9;179.43
431;432;Very Fine;7;135.31
432;433;Very Fine;6;186.60
433;434;Very Fine;0;188.13
434;435;Very Fine;4;217.01
435;436;Very Fine;0;41.89
436;437;Very Fine;6;162.75
437;438;Very Fine;1;196.39
438;439;Very Fine;1;134.02
439;440;Very Fine;4;98.13
440;441;Very Fine;4;175.41
441;442;Very Fine;5;72.89
442;443;Very Fine;5;192.60
443;444;Very Fine;5;110.70
444;445;Very Fine;3;82.09
445;446;Very Fine;4;228.43
446;447;Very Fine;9;63.59
447;448;Very Fine;6;219.22
448;449;Very Fine;6;18.97
449;450;Very Fine;6;49.92
450;451;Very Fine;2;80.04
451;452;Very Fine;9;129.91
452;453;Very Fine;3;172.77
453;454;Very Fine;1;200.72
454;455;Very Fine;6;51.48
455;456;Very Fine;8;34.44
456;457;Very Fine;9;117.89
457;458;Very Fine;3;184.84
458;459;Very Fine;4;4.51
459;460;Very Fine;1;208.05
460;461;Very Fine;4;138.11
461;462;Very Fine;8;35.91
462;463;Very Fine;7;74.78
463;464;Very Fine;5;172.24
464;465;Very Fine;9;110.12
465;466;Very Fine;0;36.40
466;467;Very Fine;7;68.14
467;468;Very Fine;0;241.69
468;469;Very Fine;2;26.50
469;470;Very Fine;5;139.84
470;471;Very Fine;5;46.02
471;472;Very Fine;3;50.20
472;473;Very Fine;3;191.35
473;474;Very Fine;2;70.49
474;475;Very Fine;6;220.38
475;476;Very Fine;5;50.21
476;477;Very Fine;9;188.14
477;478;Very Fine;8;115.25
478;479;Very Fine;9;139.01
479;480;Very Fine;9;47.25
480;481;Very Fine;1;153.17
481;482;Very Fine;1;174.21
482;483;Very Fine;0;84.18
483;484;Very Fine;8;152.69
484;485;Very Fine;1;126.88
485;486;Very Fine;7;208.88
486;487;Very Fine;2;76.86
487;488;Very Fine;1;27.88
488;489;Very Fine;2;4.78
489;490;Very Fine;2;240.46
490;491;Very Fine;0;108.77
491;492;Very Fine;7;172.96
492;493;Very Fine;5;231.11
493;494;Very Fine;1;4.72
494;495;Very Fine;1;231.83
495;496;Very Fine;3;240.43
496;497;Very Fine;3;125.44
497;498;Very Fine;0;60.84
498;499;Very Fine;8;212.42
499;500;Very Fine;0;88.08
500;501;Very Fine;3;14.92
501;502;Very Fine;1;89.67
502;503;Very Fine;1;6.28
503;504;Very Fine;6;67.70
504;505;Very Fine;2;80.94
505;506;Very Fine;5;244.43
506;507;Very Fine;2;190.56
507;508;Very Fine;8;193.01
508;509;Very Fine;4;88.80
509;510;Very Fine;3;245.57
510;511;Very Fine;5;110.53
511;512;Very Fine;8;234.55
512;513;Very Fine;3;184.80
513;514;Very Fine;1;142.39
514;515;Very Fine;0;210.94
515;516;Very Fine;3;62.81
516;517;Very Fine;9;105.72
517;518;Very Fine;0;47.67
518;519;Very Fine;9;231.19
519;520;Very Fine;2;225.85
520;521;Very Fine;1;194.59
521;522;Very Fine;6;134.44
522;523;Very Fine;9;37.27
523;524;Very Fine;8;216.98
524;525;Very Fine;1;87.83
525;526;Very Fine;1;139.80
526;527;Very Fine;9;231.63
527;528;Very Fine;8;47.65
528;529;Very Fine;3;247.12
529;530;Very Fine;8;244.93
530;531;Very Fine;9;157.45
531;532;Very Fine;5;50.49
532;533;Very Fine;5;63.71
533;534;Very Fine;5;44.13
534;535;Very Fine;8;237.79
535;536;Very Fine;6;84.70
536;537;Very Fine;5;148.81
537;538;Very Fine;1;146.39
538;539;Very Fine;4;159.51
539;540;Very Fine;3;211.16
540;541;Very Fine;6;154.47
541;542;Very Fine;6;212.42
542;543;Very Fine;9;14.07
543;544;Very Fine;7;38.71
544;545;Very Fine;8;227.73
545;546;Very Fine;7;74.97
546;547;Very Fine;4;11.75
547;548;Very Fine;9;104.05
548;549;Very Fine;1;243.84
549;550;Very Fine;2;150.47
550;551;Very Fine;8;240.79
551;552;Very Fine;6;215.12
552;553;Very Fine;6;75.71
553;554;Very Fine;9;172.20
554;555;Very Fine;8;82.15
555;556;Very Fine;1;37.45
556;557;Very Fine;7;214.85
557;558;Very Fine;7;224.98
558;559;Very Fine;5;21.99
559;560;Very Fine;5;241.82
560;561;Very Fine;6;235.07
561;562;Very Fine;9;223.17
562;563;Very Fine;5;178.36
563;564;Very Fine;5;243.85
564;565;Very Fine;1;46.41
565;566;Very Fine;7;161.41
566;567;Very Fine;0;93.63
567;568;Very Fine;9;106.28
568;569;Very Fine;0;219.82
569;570;Very Fine;1;160.57
570;571;Very Fine;7;204.62
571;572;Very Fine;5;249.27
572;573;Very Fine;3;143.79
573;574;Very Fine;0;9.37
574;575;Very Fine;1;174.26
575;576;Very Fine;9;237.94
576;577;Very Fine;8;147.86
577;578;Very Fine;5;58.73
578;579;Very Fine;5;184.73
579;580;Very Fine;6;140.53
580;581;Very Fine;8;49.45
581;582;Very Fine;5;4.71
582;583;Very Fine;9;90.37
583;584;Very Fine;4;227.74
584;585;Very Fine;6;238.83
585;586;Very Fine;6;129.11
586;587;Very Fine;3;162.15
587;588;Very Fine;8;168.34
588;589;Very Fine;8;60.34
589;590;Very Fine;6;213.24
590;591;Very Fine;4;239.27
591;592;Very Fine;1;139.48
592;593;Very Fine;8;199.60
593;594;Very Fine;6;60.19
594;595;Very Fine;0;46.49
595;596;Very Fine;7;143.41
596;597;Very Fine;8;189.13
597;598;Very Fine;1;247.00
598;599;Very Fine;7;8.22
599;600;Very Fine;3;160.29
600;601;Very Fine;6;135.68
601;602;Very Fine;3;82.83
602;603;Very Fine;9;41.13
603;604;Very Fine;9;4.80
604;605;Very Fine;3;44.43
605;606;Very Fine;7;33.45
606;607;Very Fine;8;175.74
607;608;Very Fine;8;102.45
608;609;Very Fine;5;72.21
609;610;Very Fine;9;27.32
610;611;Very Fine;1;135.85
611;612;Very Fine;4;169.84
612;613;Very Fine;7;89.87
613;614;Very Fine;8;78.12
614;615;Very Fine;8;125.78
615;616;Very Fine;1;180.88
616;617;Very Fine;8;136.16
617;618;Very Fine;1;229.68
618;619;Very Fine;5;182.75
619;620;Very Fine;9;175.07
620;621;Very Fine;8;56.33
621;622;Very Fine;8;247.78
622;623;Very Fine;6;174.55
623;624;Very Fine;0;233.32
624;625;Very Fine;1;195.27
625;626;Very Fine;0;157.78
626;627;Very Fine;6;29.48
627;628;Very Fine;7;43.30
628;629;Very Fine;5;195.88
629;630;Very Fine;5;70.89
630;631;Very Fine;1;176.97
631;632;Very Fine;4;228.39
632;633;Very Fine;6;154.66
633;634;Very Fine;4;17.24
634;635;Very Fine;8;157.81
635;636;Very Fine;1;0.57
636;637;Very Fine;6;236.34
637;638;Very Fine;3;114.98
638;639;Very Fine;5;46.29
639;640;Very Fine;0;57.66
640;641;Very Fine;2;54.73
641;642;Very Fine;9;110.57
642;643;Very Fine;2;7.30
643;644;Very Fine;5;175.06
644;645;Very Fine;2;208.48
645;646;Very Fine;5;53.15
646;647;Very Fine;3;120.78
647;648;Very Fine;5;165.15
648;649;Very Fine;8;151.36
649;650;Very Fine;5;138.82
650;651;Very Fine;9;96.24
651;652;Very Fine;8;42.23
652;653;Very Fine;8;143.73
653;654;Very Fine;7;217.70
654;655;Very Fine;0;203.97
655;656;Very Fine;7;208.24
656;657;Very Fine;4;178.30
657;658;Very Fine;4;210.92
658;659;Very Fine;9;49.48
659;660;Very Fine;5;45.78
660;661;Very Fine;3;145.20
661;662;Very Fine;1;159.70
662;663;Very Fine;1;161.68
663;664;Very Fine;9;119.87
664;665;Very Fine;1;47.10
665;666;Very Fine;7;4.92
666;667;Very Fine;3;60.28
667;668;Very Fine;2;4.30
668;669;Very Fine;8;125.50
669;670;Very Fine;2;118.68
670;671;Very Fine;2;165.60
671;672;Very Fine;4;208.47
672;673;Very Fine;3;13.93
673;674;Very Fine;1;99.02
674;675;Very Fine;6;124.14
675;676;Very Fine;6;130.60
676;677;Very Fine;2;101.77
677;678;Very Fine;1;187.62
678;679;Very Fine;4;58.65
679;680;Very Fine;0;166.01
680;681;Very Fine;9;190.73
681;682;Very Fine;4;225.06
682;683;Very Fine;1;167.74
683;684;Very Fine;6;8.51
684;685;Very Fine;1;228.03
685;686;Very Fine;8;27.70
686;687;Very Fine;4;19.09
687;688;Very Fine;3;115.78
688;689;Very Fine;3;111.99
689;690;Very Fine;5;99.36
690;691;Very Fine;9;247.92
691;692;Very Fine;1;180.39
692;693;Very Fine;2;66.85
693;694;Very Fine;3;191.57
694;695;Very Fine;3;190.79
695;696;Very Fine;9;117.62
696;697;Very Fine;8;29.12
697;698;Very Fine;9;10.23
698;699;Very Fine;5;116.81
699;700;Very Fine;7;74.82
700;701;Very Fine;2;153.59
701;702;Very Fine;6;47.81
702;703;Very Fine;0;129.46
703;704;Very Fine;4;63.33
704;705;Very Fine;1;11.40
705;706;Very Fine;0;48.75
706;707;Very Fine;4;132.58
707;708;Very Fine;1;8.34
708;709;Very Fine;8;47.03
709;710;Very Fine;0;89.31
710;711;Very Fine;6;247.40
711;712;Very Fine;4;76.68
712;713;Very Fine;7;51.59
713;714;Very Fine;1;230.03
714;715;Very Fine;6;236.05
715;716;Very Fine;9;22.57
716;717;Very Fine;6;154.01
717;718;Very Fine;0;85.82
718;719;Very Fine;1;126.62
719;720;Very Fine;5;173.81
720;721;Very Fine;6;211.11
721;722;Very Fine;9;105.81
722;723;Very Fine;6;187.61
723;724;Very Fine;0;228.32
724;725;Very Fine;0;245.51
725;726;Very Fine;0;27.27
726;727;Very Fine;1;115.36
727;728;Very Fine;3;91.02
728;729;Very Fine;2;51.97
729;730;Very Fine;9;4.17
730;731;Very Fine;9;45.85
731;732;Very Fine;5;199.39
732;733;Very Fine;8;44.73
733;734;Very Fine;2;211.59
734;735;Very Fine;1;78.52
735;736;Very Fine;5;99.20
736;737;Very Fine;3;18.55
737;738;Very Fine;7;84.94
738;739;Very Fine;3;118.73
739;740;Very Fine;9;134.36
740;741;Very Fine;1;178.59
741;742;Very Fine;3;13.17
742;743;Very Fine;7;129.32
743;744;Very Fine;6;184.31
744;745;Very Fine;7;222.04
745;746;Very Fine;2;183.37
746;747;Very Fine;0;52.15
747;748;Very Fine;3;130.64
748;749;Very Fine;3;139.32
749;750;Very Fine;5;69.09
750;751;Very Fine;5;143.01
751;752;Very Fine;3;124.76
752;753;Very Fine;9;132.71
753;754;Very Fine;1;157.42
754;755;Very Fine;0;67.47
755;756;Very Fine;0;55.64
756;757;Very Fine;6;70.66
757;758;Very Fine;2;13.22
758;759;Very Fine;8;149.97
759;760;Very Fine;4;82.35
760;761;Very Fine;7;205.33
761;762;Very Fine;3;105.07
762;763;Very Fine;1;114.02
763;764;Very Fine;1;153.19
764;765;Very Fine;0;182.41
765;766;Very Fine;6;144.43
766;767;Very Fine;3;242.82
767;768;Very Fine;8;180.29
768;769;Very Fine;5;193.34
769;770;Very Fine;5;110.94
770;771;Very Fine;8;68.31
771;772;Very Fine;7;87.85
772;773;Very Fine;6;134.41
773;774;Very Fine;7;103.05
774;775;Very Fine;7;232.69
775;776;Very Fine;5;18.73
776;777;Very Fine;3;111.48
777;778;Very Fine;3;81.13
778;779;Very Fine;4;130.34
779;780;Very Fine;9;143.83
780;781;Very Fine;3;196.81
781;782;Very Fine;1;144.98
782;783;Very Fine;8;143.27
783;784;Very Fine;8;240.91
784;785;Very Fine;0;98.89
785;786;Very Fine;9;154.91
786;787;Very Fine;0;36.26
787;788;Very Fine;8;99.00
788;789;Very Fine;3;112.56
789;790;Very Fine;6;60.69
790;791;Very Fine;8;248.21
791;792;Very Fine;8;8.72
792;793;Very Fine;4;150.88
793;794;Very Fine;5;194.45
794;795;Very Fine;4;173.98
795;796;Very Fine;9;154.22
796;797;Very Fine;6;36.07
797;798;Very Fine;2;146.01
798;799;Very Fine;5;153.83
799;800;Very Fine;6;11.62
800;801;Very Fine;5;99.32
801;802;Very Fine;9;174.97
802;803;Very Fine;0;15.85
803;804;Very Fine;3;67.47
804;805;Very Fine;3;174.81
805;806;Very Fine;3;208.95
806;807;Very Fine;1;162.12
807;808;Very Fine;1;221.79
808;809;Very Fine;4;148.26
809;810;Very Fine;3;94.14
810;811;Very Fine;9;61.27
811;812;Very Fine;5;122.05
812;813;Very Fine;8;234.50
813;814;Very Fine;3;159.59
814;815;Very Fine;6;47.31
815;816;Very Fine;1;157.10
816;817;Very Fine;4;132.47
817;818;Very Fine;8;81.13
818;819;Very Fine;7;110.27
819;820;Very Fine;1;113.40
820;821;Very Fine;7;126.84
821;822;Very Fine;5;27.03
822;823;Very Fine;2;246.99
823;824;Very Fine;7;59.79
824;825;Very Fine;0;184.35
825;826;Very Fine;7;168.78
826;827;Very Fine;9;128.49
827;828;Very Fine;7;245.24
828;829;Very Fine;4;190.44
829;830;Very Fine;6;56.34
830;831;Very Fine;0;6.50
831;832;Very Fine;2;20.82
832;833;Very Fine;8;36.30
833;834;Very Fine;5;183.97
834;835;Very Fine;1;169.60
835;836;Very Fine;0;95.15
836;837;Very Fine;4;113.99
837;838;Very Fine;7;245.99
838;839;Very Fine;5;113.67
839;840;Very Fine;7;6.66
840;841;Very Fine;0;114.53
841;842;Very Fine;4;164.53
842;843;Very Fine;1;228.81
843;844;Very Fine;3;42.54
844;845;Very Fine;4;228.78
845;846;Very Fine;0;34.11
846;847;Very Fine;4;188.60
847;848;Very Fine;6;155.98
848;849;Very Fine;2;27.45
849;850;Very Fine;7;141.57
850;851;Very Fine;7;185.63
851;852;Very Fine;9;109.35
852;853;Very Fine;1;240.09
853;854;Very Fine;7;159.75
854;855;Very Fine;1;129.60
855;856;Very Fine;3;135.50
856;857;Very Fine;3;6.33
857;858;Very Fine;5;61.77
858;859;Very Fine;1;129.58
859;860;Very Fine;8;138.11
860;861;Very Fine;0;99.46
861;862;Very Fine;2;148.36
862;863;Very Fine;2;151.30
863;864;Very Fine;1;93.38
864;865;Very Fine;3;81.97
865;866;Very Fine;6;101.83
866;867;Very Fine;7;189.66
867;868;Very Fine;7;133.68
868;869;Very Fine;7;212.50
869;870;Very Fine;5;108.55
870;871;Very Fine;1;224.18
871;872;Very Fine;1;111.57
